assessment_name,assessment_url,test_type,description,category
Automata Fix New,https://www.shl.com/solutions/products/product-catalog/view/automata-fix-new/,K,Automata Fix New assessment for comprehensive evaluation,Technical
Automata Selenium,https://www.shl.com/solutions/products/product-catalog/view/automata-selenium/,K,Automata Selenium assessment for comprehensive evaluation,Technical
Automata Sql New,https://www.shl.com/solutions/products/product-catalog/view/automata-sql-new/,K,Automata Sql New assessment for comprehensive evaluation,Technical
Bank Administrative Assistant Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-administrative-assistant-short-form/,K,Bank Administrative Assistant Short Form assessment for comprehensive evaluation,Technical
Basic Computer Literacy Windows 10 New,https://www.shl.com/solutions/products/product-catalog/view/basic-computer-literacy-windows-10-new/,K,Basic Computer Literacy Windows 10 New assessment for comprehensive evaluation,Technical
Business Communication Adaptive,https://www.shl.com/products/product-catalog/view/business-communication-adaptive/,K,Business Communication Adaptive assessment for comprehensive evaluation,Technical
Core Java Advanced Level New,https://www.shl.com/solutions/products/product-catalog/view/core-java-advanced-level-new/,K,Core Java Advanced Level New assessment for comprehensive evaluation,Technical
Core Java Entry Level New,https://www.shl.com/solutions/products/product-catalog/view/core-java-entry-level-new/,K,Core Java Entry Level New assessment for comprehensive evaluation,Technical
Css3 New,https://www.shl.com/solutions/products/product-catalog/view/css3-new/,K,Css3 New assessment for comprehensive evaluation,Technical
Data Warehousing Concepts,https://www.shl.com/solutions/products/product-catalog/view/data-warehousing-concepts/,K,Data Warehousing Concepts assessment for comprehensive evaluation,Technical
Digital Advertising New,https://www.shl.com/solutions/products/product-catalog/view/digital-advertising-new/,K,Digital Advertising New assessment for comprehensive evaluation,Technical
Drupal New,https://www.shl.com/solutions/products/product-catalog/view/drupal-new/,K,Drupal New assessment for comprehensive evaluation,Technical
English Comprehension New,https://www.shl.com/solutions/products/product-catalog/view/english-comprehension-new/,K,English Comprehension New assessment for comprehensive evaluation,Technical
English Comprehension New,https://www.shl.com/products/product-catalog/view/english-comprehension-new/,K,English Comprehension New assessment for comprehensive evaluation,Technical
Entry Level Sales 7 1,https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-7-1/,K,Entry Level Sales 7 1 assessment for comprehensive evaluation,Technical
